venta_id,fecha,cliente_id,producto_id,monto,cantidad,cliente_informado,venta_valida
56,2025-02-25,103,204,10000.00,NULL,1,0
57,2025-02-26,103,202,10000.00,3,1,1
58,2025-02-27,102,201,30000.00,NULL,1,0
59,2025-02-28,101,201,NULL,1,1,0
60,2025-03-01,102,204,10000.00,3,1,1
61,2025-03-02,104,204,NULL,NULL,1,0
62,2025-03-03,NULL,203,20000.00,NULL,0,0
63,2025-03-04,104,204,30000.00,2,1,1
64,2025-03-05,102,201,20000.00,2,1,1
65,2025-03-06,104,204,30000.00,2,1,1
66,2025-03-07,101,203,NULL,2,1,0
67,2025-03-08,101,204,20000.00,NULL,1,0
68,2025-03-09,103,202,40000.00,4,1,1
69,2025-03-10,103,203,NULL,NULL,1,0
70,2025-03-11,102,201,20000.00,2,1,1
71,2025-03-12,104,204,NULL,2,1,0
72,2025-03-13,NULL,201,20000.00,2,0,0
73,2025-03-14,103,201,30000.00,3,1,1
74,2025-03-15,101,201,NULL,NULL,1,0
75,2025-03-16,101,203,20000.00,4,1,1
76,2025-03-17,102,203,10000.00,3,1,1
77,2025-03-18,102,204,30000.00,4,1,1
78,2025-03-19,104,204,NULL,4,1,0
79,2025-03-20,101,201,20000.00,3,1,1
80,2025-03-21,101,203,30000.00,4,1,1
81,2025-03-22,NULL,202,10000.00,1,0,0
82,2025-03-23,103,204,10000.00,3,1,1
83,2025-03-24,NULL,202,NULL,1,0,0
84,2025-03-25,104,202,40000.00,2,1,1
85,2025-03-26,104,201,NULL,1,1,0
86,2025-03-27,101,202,20000.00,1,1,1
87,2025-03-28,104,203,NULL,4,1,0
88,2025-03-29,NULL,202,10000.00,NULL,0,0
89,2025-03-30,104,203,NULL,1,1,0
90,2025-03-31,NULL,203,10000.00,1,0,0
91,2025-04-01,NULL,202,40000.00,1,0,0
92,2025-04-02,NULL,201,30000.00,1,0,0
93,2025-04-03,102,202,NULL,2,1,0
94,2025-04-04,101,203,40000.00,1,1,1
95,2025-04-05,NULL,204,30000.00,2,0,0
96,2025-04-06,103,203,NULL,4,1,0
97,2025-04-07,101,201,30000.00,4,1,1
98,2025-04-08,103,201,NULL,NULL,1,0
99,2025-04-09,NULL,201,10000.00,1,0,0
100,2025-04-10,102,204,10000.00,2,1,1
101,2025-04-11,102,203,NULL,1,1,0
102,2025-04-12,101,201,NULL,4,1,0
103,2025-04-13,103,204,30000.00,3,1,1
104,2025-04-14,NULL,204,30000.00,2,0,0
105,2025-04-15,NULL,204,NULL,2,0,0
106,2025-04-16,101,202,30000.00,1,1,1
107,2025-04-17,NULL,204,40000.00,1,0,0
108,2025-04-18,102,201,NULL,2,1,0
109,2025-04-19,NULL,203,10000.00,2,0,0
110,2025-04-20,102,203,10000.00,4,1,1
111,2025-04-21,101,204,NULL,4,1,0
112,2025-04-22,103,201,40000.00,4,1,1
113,2025-04-23,104,202,NULL,NULL,1,0
114,2025-04-24,102,202,40000.00,3,1,1
115,2025-04-25,103,203,40000.00,4,1,1
116,2025-04-26,NULL,202,NULL,1,0,0
117,2025-04-27,NULL,204,10000.00,3,0,0
118,2025-04-28,103,203,NULL,3,1,0
119,2025-04-29,103,201,40000.00,1,1,1
120,2025-04-30,101,202,NULL,3,1,0
121,2025-05-01,102,202,20000.00,3,1,1
122,2025-05-02,103,201,NULL,2,1,0
123,2025-05-03,103,202,NULL,1,1,0
124,2025-05-04,101,204,40000.00,2,1,1
125,2025-05-05,102,204,30000.00,NULL,1,0
126,2025-05-06,103,202,30000.00,4,1,1
127,2025-05-07,NULL,203,30000.00,2,0,0
128,2025-05-08,101,204,30000.00,NULL,1,0
129,2025-05-09,102,203,30000.00,1,1,1
130,2025-05-10,103,201,10000.00,1,1,1
131,2025-05-11,102,203,30000.00,1,1,1
132,2025-05-12,NULL,201,20000.00,3,0,0
133,2025-05-13,103,203,NULL,1,1,0
134,2025-05-14,101,204,30000.00,NULL,1,0
135,2025-05-15,101,201,40000.00,2,1,1
136,2025-05-16,102,203,NULL,NULL,1,0
137,2025-05-17,101,203,10000.00,1,1,1
138,2025-05-18,102,201,10000.00,3,1,1
139,2025-05-19,104,204,NULL,4,1,0
140,2025-05-20,102,203,NULL,3,1,0
141,2025-05-21,102,201,NULL,2,1,0
142,2025-05-22,NULL,204,20000.00,4,0,0
143,2025-05-23,NULL,203,20000.00,2,0,0
144,2025-05-24,104,204,40000.00,2,1,1
145,2025-05-25,101,204,40000.00,3,1,1
146,2025-05-26,104,201,NULL,1,1,0
147,2025-05-27,101,202,40000.00,NULL,1,0
148,2025-05-28,104,203,20000.00,NULL,1,0
149,2025-05-29,102,202,40000.00,3,1,1
150,2025-05-30,103,201,40000.00,3,1,1
151,2025-05-31,NULL,204,40000.00,NULL,0,0
152,2025-06-01,101,203,20000.00,1,1,1
153,2025-06-02,101,203,40000.00,1,1,1
154,2025-06-03,104,203,10000.00,4,1,1
155,2025-06-04,102,201,NULL,NULL,1,0
156,2025-06-05,102,202,NULL,NULL,1,0
157,2025-06-06,101,203,10000.00,4,1,1
158,2025-06-07,101,204,NULL,2,1,0
159,2025-06-08,NULL,202,NULL,1,0,0
160,2025-06-09,103,202,30000.00,4,1,1
161,2025-06-10,104,202,NULL,2,1,0
162,2025-06-11,NULL,202,NULL,3,0,0
163,2025-06-12,103,201,30000.00,4,1,1
164,2025-06-13,101,202,10000.00,4,1,1
165,2025-06-14,104,203,40000.00,2,1,1
166,2025-06-15,104,202,NULL,1,1,0
167,2025-06-16,102,201,30000.00,NULL,1,0
168,2025-06-17,103,201,NULL,1,1,0
169,2025-06-18,NULL,203,NULL,2,0,0
170,2025-06-19,104,203,10000.00,2,1,1
171,2025-06-20,101,204,NULL,4,1,0
172,2025-06-21,101,202,NULL,NULL,1,0
173,2025-06-22,NULL,201,30000.00,NULL,0,0
174,2025-06-23,103,201,40000.00,3,1,1
175,2025-06-24,NULL,201,NULL,3,0,0
176,2025-06-25,103,203,30000.00,3,1,1
177,2025-06-26,101,204,NULL,3,1,0
178,2025-06-27,104,203,20000.00,4,1,1
179,2025-06-28,101,201,40000.00,NULL,1,0
180,2025-06-29,101,202,NULL,2,1,0
181,2025-06-30,NULL,204,40000.00,4,0,0
182,2025-07-01,103,202,10000.00,2,1,1
183,2025-07-02,102,202,40000.00,2,1,1
184,2025-07-03,101,203,10000.00,NULL,1,0
185,2025-07-04,NULL,202,NULL,2,0,0
186,2025-07-05,104,202,40000.00,4,1,1
187,2025-07-06,101,201,10000.00,1,1,1
188,2025-07-07,102,202,NULL,NULL,1,0
189,2025-07-08,103,203,40000.00,1,1,1
190,2025-07-09,NULL,201,20000.00,NULL,0,0
191,2025-07-10,NULL,204,NULL,2,0,0
192,2025-07-11,104,201,NULL,3,1,0
193,2025-07-12,104,201,NULL,1,1,0
194,2025-07-13,104,203,30000.00,3,1,1
195,2025-07-14,104,204,NULL,NULL,1,0
196,2025-07-15,103,202,NULL,NULL,1,0
197,2025-07-16,104,202,30000.00,2,1,1
198,2025-07-17,104,202,NULL,1,1,0
199,2025-07-18,NULL,201,30000.00,2,0,0
200,2025-07-19,104,201,20000.00,NULL,1,0
