venta_id,fecha,cliente_id,producto_id,monto,cantidad
147,27/05/2025,101,202,40000,
148,28/05/2025,104,203,20000,
149,29/05/2025,102,202,40000,3
150,30/05/2025,103,201,40000,3
151,31/05/2025,,204,40000,
152,01/06/2025,101,203,20000,1
153,02/06/2025,101,203,40000,1
154,03/06/2025,104,203,10000,4
155,04/06/2025,102,201,abc,
156,05/06/2025,102,202,,
157,06/06/2025,101,203,10000,4
158,07/06/2025,101,204,,2
159,08/06/2025,,202,,1
160,09/06/2025,103,202,30000,4
161,10/06/2025,104,202,abc,2
162,11/06/2025,,202,abc,3
163,12/06/2025,103,201,30000,4
164,13/06/2025,101,202,10000,4
165,14/06/2025,104,203,40000,2
166,15/06/2025,104,202,,1
167,16/06/2025,102,201,30000,
168,17/06/2025,103,201,abc,1
169,18/06/2025,,203,,2
170,19/06/2025,104,203,10000,2
171,20/06/2025,101,204,abc,4
172,21/06/2025,101,202,,
173,22/06/2025,,201,30000,
174,23/06/2025,103,201,40000,3
175,24/06/2025,,201,abc,3
176,25/06/2025,103,203,30000,3
177,26/06/2025,101,204,abc,3
178,27/06/2025,104,203,20000,4
179,28/06/2025,101,201,40000,
180,29/06/2025,101,202,abc,2
181,30/06/2025,,204,40000,4
182,01/07/2025,103,202,10000,2
183,02/07/2025,102,202,40000,2
184,03/07/2025,101,203,10000,
185,04/07/2025,,202,abc,2
186,05/07/2025,104,202,40000,4
187,06/07/2025,101,201,10000,1
188,07/07/2025,102,202,,
189,08/07/2025,103,203,40000,1
190,09/07/2025,,201,20000,
191,10/07/2025,,204,abc,2
192,11/07/2025,104,201,abc,3
193,12/07/2025,104,201,,1
194,13/07/2025,104,203,30000,3
195,14/07/2025,104,204,,
196,15/07/2025,103,202,,
197,16/07/2025,104,202,30000,2
198,17/07/2025,104,202,abc,1
199,18/07/2025,,201,30000,2
200,19/07/2025,104,201,20000,
